City,Latitude,Longitude
Araraquara,-21.7852,-48.1739
Assis,-22.6596,-50.4196
Avare,-23.1065,-48.9252
Bauru,-22.3145,-49.0585
Botucatu,-22.8832,-48.4437
Campinas,-22.9099,-47.0626
Dracena,-21.4823,-51.5325
Franca,-20.5386,-47.4004
Ibiuna,-23.6626,-47.2227
Itapetininga,-23.5907,-48.0481
Itarare,-24.1092,-49.3287
Itatiba,-23.0025,-46.8447
Jau,-22.2977,-48.5583
Jundiai,-23.1857,-46.8978
Limeira,-22.5626,-47.4084
Marilia,-22.2132,-49.9453
Ourinhos,-22.9797,-49.8715
Piedade,-23.7106,-47.4199
Piracicaba,-22.7211,-47.6422
Pirassununga,-21.9867,-47.3362
Presidente Prudente,-22.1204,-51.3930
Ribeirao Preto,-21.1704,-47.8103
Rio Claro,-22.4140,-47.5649
Sao Carlos,-22.0056,-47.2183
Sao Joao da Boa Vista,-21.9727,-46.7968
Sao Jose do Rio Preto,-20.8118,-49.3759
Sao Roque,-23.5300,-47.1354
Sertaozinho,-21.1316,-47.9858
Sorocaba,-23.4969,-47.4319
Valinhos,-22.9726,-46.9979
